reference_id,recommendations
68bdfbc79249355943327c2c,"[{'match_id': '68bdfbdf9249355943327c2e', 'title': 'Mieszkanie 3 pokojowe w centrum Czarnej Białostockiej', 'price': 330000.0, 'similarity_score': 0.7813682556152344, 'location': {'city': 'białostocki', 'voivodeship': 'podlaskie', 'district': 'czarna białostocka', 'neighborhood': 'czarna białostocka'}}, {'match_id': '68bdfd8e9249355943327c6c', 'title': 'Wykończone mieszkanie 62m2 - GOTOWE DO ZAMIESZKANIA', 'price': 365000.0, 'similarity_score': 0.75075364112854, 'location': {'city': 'wągrowiecki', 'voivodeship': 'wielkopolskie', 'district': 'skoki', 'neighborhood': 'skoki'}}, {'match_id': '68bdfe119249355943327c76', 'title': 'Po remoncie Wysoki Standard Super Lokalizacja', 'price': 765000.0, 'similarity_score': 0.7408188581466675, 'location': {'city': 'poznań', 'voivodeship': 'wielkopolskie', 'district': 'stare miasto', 'neighborhood': 'piątkowo'}}, {'match_id': '68bdfc209249355943327c34', 'title': 'DWUSTRONNA EKSPOZYCJA - 3pok., blisko MPK - NISKI BLOK', 'price': 499000.0, 'similarity_score': 0.7310553789138794, 'location': {'city': 'kraków', 'voivodeship': 'małopolskie', 'district': 'bieńczyce', 'neighborhood': 'bieńczyce'}}, {'match_id': '68bdfd049249355943327c50', 'title': 'Mieszkanie 3 pokojowe Krzyki', 'price': 750000.0, 'similarity_score': 0.7167035341262817, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'krzyki', 'neighborhood': 'dolnośląskiepowstańców śląskich'}}]"
68bdfbd29249355943327c2d,"[{'match_id': '68bdfd839249355943327c69', 'title': 'Sprzedam segment 162 mkw w Markach, blisko M1 i granicy Warszawy.', 'price': 1300000.0, 'similarity_score': 0.7448358535766602, 'location': {'city': 'marki', 'voivodeship': 'mazowieckie', 'district': 'mazowieckieul. opolska', 'neighborhood': 'wołomiński'}}, {'match_id': '68bdfc149249355943327c33', 'title': 'Jasne mieszkanie 2-pokojowe na V osiedlu', 'price': 289000.0, 'similarity_score': 0.6856761574745178, 'location': {'city': 'konin', 'voivodeship': 'wielkopolskie', 'district': '', 'neighborhood': ''}}, {'match_id': '68bdfdef9249355943327c73', 'title': 'Mieszkanie 3 Pokoje | 1 Piętro | Premium | Ścisłe Centrum | Blok |', 'price': 449000.0, 'similarity_score': 0.6818165183067322, 'location': {'city': 'radom', 'voivodeship': 'mazowieckie', 'district': 'śródmieście', 'neighborhood': ''}}, {'match_id': '68bdfce19249355943327c45', 'title': 'Ustawne 2 pokojowe mieszkanie z ładnym widokiem', 'price': 320000.0, 'similarity_score': 0.6722584962844849, 'location': {'city': 'katowice', 'voivodeship': 'śląskie', 'district': 'śląskiegiszowiec', 'neighborhood': 'katowice'}}, {'match_id': '68bdfe119249355943327c76', 'title': 'Po remoncie Wysoki Standard Super Lokalizacja', 'price': 765000.0, 'similarity_score': 0.663439154624939, 'location': {'city': 'poznań', 'voivodeship': 'wielkopolskie', 'district': 'stare miasto', 'neighborhood': 'piątkowo'}}]"
68bdfbdf9249355943327c2e,"[{'match_id': '68bdfc6f9249355943327c3d', 'title': '3 pokoje | oddzielna kuchnia | balkon 8 m² | wysoki standard', 'price': 715999.0, 'similarity_score': 0.8721022605895996, 'location': {'city': 'kielce', 'voivodeship': 'świętokrzyskie', 'district': 'świętokrzyskieśródmieście', 'neighborhood': 'kielce'}}, {'match_id': '68bdfc499249355943327c38', 'title': 'Nowoczesne 3-pokojowe mieszkanie z balkonem i garażem', 'price': 779999.0, 'similarity_score': 0.8432533740997314, 'location': {'city': 'kielce', 'voivodeship': 'świętokrzyskie', 'district': '', 'neighborhood': 'dąbrowa'}}, {'match_id': '68bdfbc79249355943327c2c', 'title': 'Mieszkanie 65,5 m² z dużym balkonem i zielonym widokiem - REZERWACJA', 'price': 515000.0, 'similarity_score': 0.7813682556152344, 'location': {'city': 'tychy', 'voivodeship': 'śląskie', 'district': '', 'neighborhood': 'osiedle urszula'}}, {'match_id': '68bdfd049249355943327c50', 'title': 'Mieszkanie 3 pokojowe Krzyki', 'price': 750000.0, 'similarity_score': 0.7672504186630249, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'krzyki', 'neighborhood': 'dolnośląskiepowstańców śląskich'}}, {'match_id': '68bdfcf89249355943327c4f', 'title': 'SPRZEDAM MIESZKANIE 36m2  os Południe', 'price': 215000.0, 'similarity_score': 0.7636628746986389, 'location': {'city': 'włocławek', 'voivodeship': 'kujawsko-pomorskie', 'district': '', 'neighborhood': ''}}]"
68bdfbe99249355943327c2f,"[{'match_id': '68bdfc409249355943327c37', 'title': '3-pokojowe mieszkanie 57 m² z garażem i piwnicą Dębice pow. Goleniów', 'price': 209000.0, 'similarity_score': 0.7557514905929565, 'location': {'city': 'maszewo', 'voivodeship': 'zachodniopomorskie', 'district': 'zachodniopomorskiedębice', 'neighborhood': 'goleniowski'}}, {'match_id': '68bdfc209249355943327c34', 'title': 'DWUSTRONNA EKSPOZYCJA - 3pok., blisko MPK - NISKI BLOK', 'price': 499000.0, 'similarity_score': 0.5630121231079102, 'location': {'city': 'kraków', 'voivodeship': 'małopolskie', 'district': 'bieńczyce', 'neighborhood': 'bieńczyce'}}, {'match_id': '68bdfcd49249355943327c44', 'title': 'Zadbana, tania kawalerka | ul. Białowieska', 'price': 355000.0, 'similarity_score': 0.515568733215332, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'fabryczna', 'neighborhood': 'popowice północne'}}, {'match_id': '68bdfbc79249355943327c2c', 'title': 'Mieszkanie 65,5 m² z dużym balkonem i zielonym widokiem - REZERWACJA', 'price': 515000.0, 'similarity_score': 0.4993323087692261, 'location': {'city': 'tychy', 'voivodeship': 'śląskie', 'district': '', 'neighborhood': 'osiedle urszula'}}, {'match_id': '68bdfdd79249355943327c71', 'title': '✅ Bez PCC |Nowe Wykończone 3 Pokoje |  Bezpośrednio | Klimatyzacja', 'price': 989345.0, 'similarity_score': 0.4887887239456177, 'location': {'city': 'kraków', 'voivodeship': 'małopolskie', 'district': 'podgórze', 'neighborhood': 'płaszów'}}]"
68bdfbf49249355943327c30,"[{'match_id': '68bdfcd49249355943327c44', 'title': 'Zadbana, tania kawalerka | ul. Białowieska', 'price': 355000.0, 'similarity_score': 0.588641881942749, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'fabryczna', 'neighborhood': 'popowice północne'}}, {'match_id': '68bdfc2a9249355943327c35', 'title': 'Miasteczko Wilanów- M3, balkon, Ip, 2x m.postojowe', 'price': 810000.0, 'similarity_score': 0.5637012720108032, 'location': {'city': 'warszawa', 'voivodeship': 'mazowieckie', 'district': 'wilanów', 'neighborhood': 'błonia wilanowskie'}}, {'match_id': '68bdfc409249355943327c37', 'title': '3-pokojowe mieszkanie 57 m² z garażem i piwnicą Dębice pow. Goleniów', 'price': 209000.0, 'similarity_score': 0.5416231751441956, 'location': {'city': 'maszewo', 'voivodeship': 'zachodniopomorskie', 'district': 'zachodniopomorskiedębice', 'neighborhood': 'goleniowski'}}, {'match_id': '68bdfc209249355943327c34', 'title': 'DWUSTRONNA EKSPOZYCJA - 3pok., blisko MPK - NISKI BLOK', 'price': 499000.0, 'similarity_score': 0.5132039189338684, 'location': {'city': 'kraków', 'voivodeship': 'małopolskie', 'district': 'bieńczyce', 'neighborhood': 'bieńczyce'}}, {'match_id': '68bdfbc79249355943327c2c', 'title': 'Mieszkanie 65,5 m² z dużym balkonem i zielonym widokiem - REZERWACJA', 'price': 515000.0, 'similarity_score': 0.5106940269470215, 'location': {'city': 'tychy', 'voivodeship': 'śląskie', 'district': '', 'neighborhood': 'osiedle urszula'}}]"
68bdfbff9249355943327c31,"[{'match_id': '68bdfc369249355943327c36', 'title': '2 pokoje z widokiem na park|po remoncie|Wiatraczna', 'price': 670000.0, 'similarity_score': 0.6584555506706238, 'location': {'city': 'warszawa', 'voivodeship': 'mazowieckie', 'district': 'praga-południe', 'neighborhood': 'grochów'}}, {'match_id': '68bdfbdf9249355943327c2e', 'title': 'Mieszkanie 3 pokojowe w centrum Czarnej Białostockiej', 'price': 330000.0, 'similarity_score': 0.5966342091560364, 'location': {'city': 'białostocki', 'voivodeship': 'podlaskie', 'district': 'czarna białostocka', 'neighborhood': 'czarna białostocka'}}, {'match_id': '68bdfca09249355943327c40', 'title': 'Zadbane 2-pokojowe, balkon, zieleń za oknem', 'price': 547000.0, 'similarity_score': 0.5912390947341919, 'location': {'city': 'poznań', 'voivodeship': 'wielkopolskie', 'district': 'stare miasto', 'neighborhood': 'piątkowo'}}, {'match_id': '68bdfdfa9249355943327c74', 'title': 'Dni Otwarte | 13.09.2025 | Centrum Wrzeszcza', 'price': 439000.0, 'similarity_score': 0.5806068181991577, 'location': {'city': 'gdańsk', 'voivodeship': 'pomorskie', 'district': '', 'neighborhood': 'wrzeszcz górny'}}, {'match_id': '68bdfbd29249355943327c2d', 'title': 'Mieszkanie Lesznowola 102m', 'price': 730000.0, 'similarity_score': 0.5691159963607788, 'location': {'city': 'lesznowola', 'voivodeship': 'mazowieckie', 'district': 'lesznowola', 'neighborhood': 'mazowieckieul. salamandry'}}]"
68bdfc0a9249355943327c32,"[{'match_id': '68bdfca09249355943327c40', 'title': 'Zadbane 2-pokojowe, balkon, zieleń za oknem', 'price': 547000.0, 'similarity_score': 0.6305551528930664, 'location': {'city': 'poznań', 'voivodeship': 'wielkopolskie', 'district': 'stare miasto', 'neighborhood': 'piątkowo'}}, {'match_id': '68bdfc369249355943327c36', 'title': '2 pokoje z widokiem na park|po remoncie|Wiatraczna', 'price': 670000.0, 'similarity_score': 0.6001233458518982, 'location': {'city': 'warszawa', 'voivodeship': 'mazowieckie', 'district': 'praga-południe', 'neighborhood': 'grochów'}}, {'match_id': '68bdfde29249355943327c72', 'title': 'Okazja!2 pokojowe 68m2 w sercu miasta z balkonem !', 'price': 448000.0, 'similarity_score': 0.5932298898696899, 'location': {'city': 'szczecin', 'voivodeship': 'zachodniopomorskie', 'district': 'śródmieście', 'neighborhood': 'turzyn'}}, {'match_id': '68bdfe319249355943327c79', 'title': '3-pokojowe mieszkanie 59m2 + balkon', 'price': 695004.0, 'similarity_score': 0.5844138860702515, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'fabryczna', 'neighborhood': 'leśnica'}}, {'match_id': '68bdfbc79249355943327c2c', 'title': 'Mieszkanie 65,5 m² z dużym balkonem i zielonym widokiem - REZERWACJA', 'price': 515000.0, 'similarity_score': 0.5620952844619751, 'location': {'city': 'tychy', 'voivodeship': 'śląskie', 'district': '', 'neighborhood': 'osiedle urszula'}}]"
68bdfc149249355943327c33,"[{'match_id': '68bdfce19249355943327c45', 'title': 'Ustawne 2 pokojowe mieszkanie z ładnym widokiem', 'price': 320000.0, 'similarity_score': 0.8407355546951294, 'location': {'city': 'katowice', 'voivodeship': 'śląskie', 'district': 'śląskiegiszowiec', 'neighborhood': 'katowice'}}, {'match_id': '68bdfcf89249355943327c4f', 'title': 'SPRZEDAM MIESZKANIE 36m2  os Południe', 'price': 215000.0, 'similarity_score': 0.8031702041625977, 'location': {'city': 'włocławek', 'voivodeship': 'kujawsko-pomorskie', 'district': '', 'neighborhood': ''}}, {'match_id': '68bdfdef9249355943327c73', 'title': 'Mieszkanie 3 Pokoje | 1 Piętro | Premium | Ścisłe Centrum | Blok |', 'price': 449000.0, 'similarity_score': 0.7881096601486206, 'location': {'city': 'radom', 'voivodeship': 'mazowieckie', 'district': 'śródmieście', 'neighborhood': ''}}, {'match_id': '68bdfe399249355943327c7a', 'title': '2-pokojowe mieszkanie z tarasem, ogródkiem oraz miejscem w garażu', 'price': 3500.0, 'similarity_score': 0.7737433910369873, 'location': {'city': 'warszawa', 'voivodeship': 'mazowieckie', 'district': 'białołęka', 'neighborhood': 'kobiałka'}}, {'match_id': '68bdfd839249355943327c69', 'title': 'Sprzedam segment 162 mkw w Markach, blisko M1 i granicy Warszawy.', 'price': 1300000.0, 'similarity_score': 0.7693374156951904, 'location': {'city': 'marki', 'voivodeship': 'mazowieckie', 'district': 'mazowieckieul. opolska', 'neighborhood': 'wołomiński'}}]"
68bdfc209249355943327c34,"[{'match_id': '68bdfd049249355943327c50', 'title': 'Mieszkanie 3 pokojowe Krzyki', 'price': 750000.0, 'similarity_score': 0.7946100234985352, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'krzyki', 'neighborhood': 'dolnośląskiepowstańców śląskich'}}, {'match_id': '68bdfc409249355943327c37', 'title': '3-pokojowe mieszkanie 57 m² z garażem i piwnicą Dębice pow. Goleniów', 'price': 209000.0, 'similarity_score': 0.758819043636322, 'location': {'city': 'maszewo', 'voivodeship': 'zachodniopomorskie', 'district': 'zachodniopomorskiedębice', 'neighborhood': 'goleniowski'}}, {'match_id': '68bdfcf89249355943327c4f', 'title': 'SPRZEDAM MIESZKANIE 36m2  os Południe', 'price': 215000.0, 'similarity_score': 0.7536728978157043, 'location': {'city': 'włocławek', 'voivodeship': 'kujawsko-pomorskie', 'district': '', 'neighborhood': ''}}, {'match_id': '68bdfce19249355943327c45', 'title': 'Ustawne 2 pokojowe mieszkanie z ładnym widokiem', 'price': 320000.0, 'similarity_score': 0.7438269853591919, 'location': {'city': 'katowice', 'voivodeship': 'śląskie', 'district': 'śląskiegiszowiec', 'neighborhood': 'katowice'}}, {'match_id': '68bdfbc79249355943327c2c', 'title': 'Mieszkanie 65,5 m² z dużym balkonem i zielonym widokiem - REZERWACJA', 'price': 515000.0, 'similarity_score': 0.7310553789138794, 'location': {'city': 'tychy', 'voivodeship': 'śląskie', 'district': '', 'neighborhood': 'osiedle urszula'}}]"
68bdfc2a9249355943327c35,"[{'match_id': '68bdfbf49249355943327c30', 'title': 'Topowa lokalizacja I Zadbana kamienica I Sufity 3m', 'price': 799000.0, 'similarity_score': 0.5637012720108032, 'location': {'city': 'gdańsk', 'voivodeship': 'pomorskie', 'district': 'śródmieście', 'neighborhood': ''}}, {'match_id': '68bdfc0a9249355943327c32', 'title': 'Przestronne 5 pokoi z dwoma balkonami przy Parku', 'price': 850000.0, 'similarity_score': 0.5281466245651245, 'location': {'city': 'chorzów', 'voivodeship': 'śląskie', 'district': 'centrum', 'neighborhood': 'klimzowiec'}}, {'match_id': '68bdfc629249355943327c3c', 'title': 'Śródmieście | 1. piętro | Balkon | Spół. - wł.', 'price': 540000.0, 'similarity_score': 0.5206636190414429, 'location': {'city': 'gdańsk', 'voivodeship': 'pomorskie', 'district': 'śródmieście', 'neighborhood': ''}}, {'match_id': '68bdfca09249355943327c40', 'title': 'Zadbane 2-pokojowe, balkon, zieleń za oknem', 'price': 547000.0, 'similarity_score': 0.5117122530937195, 'location': {'city': 'poznań', 'voivodeship': 'wielkopolskie', 'district': 'stare miasto', 'neighborhood': 'piątkowo'}}, {'match_id': '68bdfe059249355943327c75', 'title': 'Mieszkanie 25,61m2 + balkon,1 pok. obok, nowe/ Dwo', 'price': 538770.0, 'similarity_score': 0.5037317276000977, 'location': {'city': 'wrocław', 'voivodeship': 'dolnośląskie', 'district': 'stare miasto', 'neighborhood': 'przedmieście świdnickie'}}]"
